Subject,Date,Avg
P0701,2019-05-08,71.56833361877034
P0702,2019-05-08,75.43625196096679
P0703,2019-05-08,71.80232017212305
P0704,2019-05-08,75.68035781443078
P0705,2019-05-08,74.58889876273156
P0706,2019-05-08,77.56024140614676
P0707,2019-05-08,78.61948327207362
P0708,2019-05-08,76.1973637015782
P0709,2019-05-08,77.8307529475472
P0710,2019-05-08,86.38430023314244
P0701,2019-05-09,73.86076986076986
P0702,2019-05-09,75.30986612555988
P0703,2019-05-09,76.75049090195051
P0704,2019-05-09,74.29331233341411
P0705,2019-05-09,71.33214069865829
P0706,2019-05-09,73.8304934978326
P0707,2019-05-09,79.35124473267386
P0708,2019-05-09,71.84430480750049
P0709,2019-05-09,81.91229346357684
P0710,2019-05-09,83.80224664440661
P0701,2019-05-10,73.3815669193956
P0702,2019-05-10,83.56005135971554
P0703,2019-05-10,75.44521732137831
P0704,2019-05-10,73.44241039730807
P0705,2019-05-10,77.83949841469337
P0706,2019-05-10,
P0707,2019-05-10,80.00655524555083
P0708,2019-05-10,76.64504485923482
P0709,2019-05-10,76.86252173913043
P0710,2019-05-10,84.25010626741604
P0701,2019-05-11,72.84159034138219
P0702,2019-05-11,84.21934746983165
P0703,2019-05-11,76.52374448079794
P0704,2019-05-11,71.64310108496154
P0705,2019-05-11,79.65898342804913
P0706,2019-05-11,
P0707,2019-05-11,68.95951282051283
P0708,2019-05-11,75.73422781603736
P0709,2019-05-11,73.6800442165382
P0710,2019-05-11,89.3533568003265
