H,Avg BatteryLevel,Avg Calories per day,Avg HeartRate,Avg SkinTemperature
0,84.67727273,588.3967542,76.93899721,30.27834729
3,95.9561753,827.665319,68.4860279,32.2084986
6,94.46464646,,,
9,84.01941748,,,
12,70.67317073,1490.56,83.82524272,19.45400009
15,75.58333333,1491.576923,106.7407407,25.15999985
18,100,,,
21,100,490.6893471,80.36181575,29.0803922
0,94.578125,581.4557933,76.7504909,32.82727287
3,77.49295775,,,
6,68.00425532,,,
9,55.09950249,,,
12,40.45959596,,,
15,78.96442688,,,
18,100,,,
21,100,,,
0,96.1758794,557.5145669,72.77706887,31.15898307
3,86.80829016,786.0293512,77.49379006,32.15738746
6,73.48543689,939.0949408,70.32211538,33.59562769
9,57.77777778,1257.902925,96.15779927,29.49785709
12,61.94756554,,,
15,100,,,
18,100,,,
21,96.36702128,,,
0,99.07692308,608.9842402,79.29010964,31.99816056
3,82.07729469,840.2873484,75.45556054,34.06925483
6,62.00934579,898,72.93103448,33.97999954
9,44.28436019,1148,70,0
12,32.57819905,,,
15,78.79116466,,,
18,100,,,
21,100,,,
