H,Avg BatteryLevel,Avg Calories per day,Avg HeartRate,Avg SkinTemperature
0,45.78333333,831.2831921,70.98950157,31.20899407
3,43.83102081,1090.967779,76.09533856,30.87333328
6,38.70341207,1321.786294,74.64958969,32.6878472
9,63.96814937,1592.012312,57.75998225,34.06131604
12,95.49619772,1743.140396,75.91186669,32.72704346
15,92.07142857,147.279044,85.6951526,29.43704735
18,85.25,,,
21,80.65217391,,,
0,73.07551241,702.4474324,63.02807743,30.81120004
3,73.53818182,906.7275682,76.76029891,31.8279769
6,66.65243902,1193.527618,78.18029082,31.53600595
9,74.98338369,1519.02507,72.22411113,32.61591833
12,91.83030303,1787.562908,76.89250313,32.63895642
15,74.92134831,134.0492284,72.0065552,32.74387922
18,65.4,268.1630838,75.39177489,29.94956518
21,57.84210526,,,
0,71.48302078,,,
3,72.19230769,,,
6,,,,
9,,,,
12,,,,
15,,,,
18,,,,
21,,,,
0,,,,
3,,,,
6,,,,
9,,,,
12,,,,
15,,,,
18,,,,
21,,,,
