H,Avg BatteryLevel,Avg Calories per day,Avg HeartRate,Avg SkinTemperature
0,88.65023474,967.1203942,78.82673886,29.20100007
3,95.6446281,1131.47496,74.66758323,32.65876473
6,84.79220779,1392.421627,71.07085134,30.5385876
9,67.50583658,1698.707303,79.01328581,31.29780483
12,52.94047619,1805.249617,76.62032885,32.54840027
15,81.10505051,,,
18,100,,,
21,99.91,737.7799791,85.87423935,28.36941186
0,92.2,894.0940155,76.55036673,31.70840333
3,82.30780781,1160.763483,70.48577499,32.64518099
6,95.4906367,1466.287578,71.08810541,32.08073279
9,83.11904762,,,
12,67.72192513,1930.763822,86.89772063,31.2821052
15,77.0773639,69.79333858,84.58006119,30.25587788
18,87,,,
21,86.9125,,,
0,91.58638743,938.736792,79.08471242,30.7993127
3,97.29754601,1226.345284,71.29748744,32.56727275
6,98.2406639,1473.911151,70.64655968,31.90740939
9,83.25112108,1647.157369,74.42195946,31.16457466
12,69.64141414,,,
15,58.51515152,,,
18,54.82857143,,,
21,78.87191011,,,
0,97.00606061,889.0223475,70.58742902,33.98906968
3,89.48630137,1080.027404,69.82984414,34.49175466
6,79.41489362,1337.233668,72.49592649,32.72863117
9,67.24175824,1601.677377,72.61365423,32.86294323
12,57.32188841,,,
15,72.81135531,,,
18,100,,,
21,100,,,
