H,Avg BatteryLevel,Avg Calories per day,Avg HeartRate,Avg SkinTemperature
0,85.79591837,804.5749099,70.90979524,33.15384399
3,56.93442623,1055.942822,80.90942631,32.8429247
6,62.17564403,1300.725394,78.42335362,33.5135096
9,52.88034188,1451.581472,82.17997778,31.40608068
12,69.33144796,,,
15,88.21212121,,,
18,89.26315789,,,
21,100,,,
0,93.93548387,979.9368195,80.02583026,32.60168263
3,70.1125,1172.538809,76.36298234,33.57422528
6,38.57978279,1414.170231,75.10550975,32.05862352
9,60.69085174,1650.729279,96.80136647,32.32298809
12,40.73394495,133.8913613,73.54267516,31.04115391
15,45.9375,,,
18,57.61006289,,,
21,100,,,
0,98.58333333,901.8800648,72.67716535,30.71227282
3,76.78666667,1073.2912,80.13474131,31.76701943
6,34.68115942,1352.193799,74.84163438,32.65289708
9,20.58813559,1597.762067,75.24167177,33.18582022
12,28.66733068,1739.602493,87.12516824,31.755769
15,68.85742574,,,
18,98.06557377,,,
21,100,,,
0,99.6,1082.463074,75.73925339,32.63700569
3,83.1754386,1268.712024,73.54459098,31.69440107
6,60.11111111,1516.457945,75.48972603,33.22960992
9,44.34090909,1702.939228,68.51531339,33.17327945
12,22.78846154,,,
15,23.16956522,,,
18,75.11801242,,,
21,100,,,
