H,Avg BatteryLevel,Avg Calories per day,Avg HeartRate,Avg SkinTemperature
0,81.46260388,933.3454995,75.0924812,31.89139017
3,64.26451613,1076.489609,77.82940915,29.19214766
6,95.85773624,,,
9,69.43647541,,,
12,53.18534483,,,
15,47.46801872,,,
18,58.04043127,,,
21,100,,,
0,100,983.3003901,77.04930468,31.42000008
3,93.6712963,1114.032175,71.39848403,30.39603833
6,87.21774194,,,
9,76.47887324,,,
12,44.42857143,,,
15,46.72940724,,,
18,86.5776435,,,
21,100,,,
0,99.6875,1137.877334,77.15988553,29.84611106
3,86.73288332,1283.135068,74.15240964,30.88298242
6,80.39553314,,,
9,92.04233751,,,
12,57.43364681,,,
15,38.83291457,,,
18,77.45599446,,,
21,100,,,
0,100,1199.685234,84.32563234,32.55372786
3,93.9946714,1387.192016,73.25039196,31.82370469
6,69.70701754,1631.567461,74.01063603,31.02707002
9,42.63483965,,,
12,68.44745763,,,
15,35.82688766,,,
18,79.27626745,,,
21,100,,,
