H,Avg BatteryLevel,Avg Calories per day,Avg HeartRate,Avg SkinTemperature
0,90.41830065,842.3805217,73.28834771,31.61786799
3,81.93627451,1047.817901,71.87542628,33.2553916
6,69.85365854,1237.498005,69.79767162,33.38680299
9,57.0942029,,,
12,43.0438247,,,
15,33.41258741,,,
18,75.13915094,,,
21,100,,,
0,92.14414414,845.8810427,74.4771051,31.52018511
3,78.9,1044.542603,76.73671544,33.00884388
6,64.84803922,1324.567328,72.41244604,32.76309274
9,51.53266332,,,
12,38.21551724,,,
15,41.15308642,,,
18,77.39358601,,,
21,100,,,
0,89.69166667,831.9647566,75.77469478,31.46044438
3,75.01015228,1057.69067,74.58312973,33.11473879
6,74.80439122,1285.725223,69.95205712,32.97418371
9,82.66176471,1527.595986,73.02493613,31.23387686
12,66.79298246,1714.259378,72.12274518,29.83283007
15,57.40482574,,,
18,84.36241611,,,
21,100,,,
0,96.79081633,1036.614231,72.7972439,31.41948163
3,86.65895954,1274.38583,73.79912864,32.50702415
6,71.29044118,1500.041993,72.06821069,30.76182894
9,48.70989761,,,
12,32.51685393,,,
15,25.71617162,,,
18,39.97975709,,,
21,79.85148515,,,
