H,Avg BatteryLevel,Avg Calories per day,Avg HeartRate,Avg SkinTemperature
0,93.59633028,602.1185055,74.87927,33.38372119
3,67.50684932,762.8554902,75.82078952,33.11142059
6,41.77419355,955.9289529,74.59584338,33.05194357
9,38.75443038,1205.849289,81.33466715,33.66619558
12,44.39393939,1290.969002,69.56127451,33.60711109
15,57.63582677,,,
18,99.7,,,
21,100,,,
0,96.11111111,604.1499905,73.4721038,32.1944445
3,90.39463602,761.7867022,75.86576343,32.58034681
6,92.46268657,875.5297542,75.46895973,33.57806277
9,63.65517241,1166.185724,82.6898407,32.75558366
12,86.17266187,1366.918632,68.81791339,32.7954733
15,82.27586207,11.27411168,72.21287129,31.7874999
18,100,,,
21,100,,,
0,93.94117647,749.0542292,74.12322054,33.72272736
3,71.39344262,932.359251,73.7537037,33.17557621
6,50.64864865,1111.953839,73.87455419,32.81049404
9,30.0952381,1363.431211,93.88234315,33.66542693
12,37.99280576,120.4134112,94.07972576,30.68494119
15,40.23469388,237.0987959,90.96061975,31.5513092
18,18.71428571,395.7639863,90.3218041,31.49713088
21,11.58333333,,,
0,5.166666667,554.2624941,92.40970301,31.8620055
3,25.19621749,683.975823,83.19484097,32.89894751
6,62.35873016,937.1508715,86.93086093,32.40722226
9,50.11111111,1143.916475,80.1344006,30.27411767
12,21.54748603,1325.78181,77.43929551,32.0416183
15,13.8,,,
18,36.3856305,,,
21,98.50561798,,,
