H,Avg BatteryLevel,Avg Calories per day,Avg HeartRate,Avg SkinTemperature
0,36.71428571,782.5725214,85.2094079,30.84054757
3,45.94249201,999.6302152,67.20156584,31.30258473
6,84.88636364,1189.415907,80.60247529,32.53415042
9,85.19745223,1373.876205,77.57355536,32.7499001
12,78.85245902,,,
15,65.56896552,,,
18,53.86363636,,,
21,52.21052632,,,
0,47.4109589,658.0706674,88.93395197,31.37114762
3,38.96875,787.5613563,78.80004188,31.17100952
6,15.5448505,1004.843262,73.2566979,29.94043142
9,51.97311828,1220.557362,82.38527668,31.07289943
12,61.65584416,1397.408963,80.07808219,31.93445949
15,53.46511628,,,
18,39.04,,,
21,39,,,
0,31.50617284,949.0240454,89.99678993,31.70314609
3,16.78317152,1220.404069,69.33098982,30.66359122
6,53.87982833,1371.470795,78.9630142,32.05545954
9,99.96956522,1583.641885,82.73666667,31.34209499
12,99.58285714,61.30385375,61.623439,28.43869558
15,89.03333333,,,
18,76.41935484,,,
21,74.54545455,,,
0,65.40952381,766.3409962,82.82086771,30.42126993
3,45.58389262,890.68958,72.2363955,29.74676887
6,54.29187817,1078.909539,64.10966611,31.80055718
9,99.47567568,1245.33251,62.00505753,31.67942971
12,91.0647482,1402.10557,72.49575221,30.14737969
15,76.24444444,,,
18,76.98170732,,,
21,87.76190476,,,
