H,Avg BatteryLevel,Avg Calories per day,Avg HeartRate,Avg SkinTemperature
0,90.41830065,842.3805217,73.28834771,31.61786799
3,81.93627451,1047.817901,71.87542628,33.2553916
6,69.85365854,1237.498005,69.79767162,33.38680299
9,57.0942029,,,
12,43.0438247,,,
15,33.41258741,,,
18,75.13915094,,,
21,100,,,
