H,Avg BatteryLevel,Avg Calories per day,Avg HeartRate,Avg SkinTemperature
0,89.87927107,844.0616775,72.56243537,31.18284044
3,70.04433498,1068.832559,78.35906659,31.74047353
6,50.75471698,1292.468756,72.24440474,31.7617764
9,39.02377179,,,
12,49.1136891,1692.434783,68.76086957,19.38333384
15,50.82350187,,,
18,97.4957265,,,
21,100,,,
0,83.97849462,836.891461,73.37548874,32.52008093
3,59.84242424,1039.045756,75.41859541,31.84771525
6,42.34494774,1297.593428,73.00494884,30.38265599
9,13.42590432,1551.327083,73.06886076,35.12925387
12,65.02993404,1637.829243,59.14497339,34.47639095
15,67.7345679,,,
18,41.08641975,,,
21,38.47058824,,,
0,27.36297641,866.293665,75.87383053,32.636534
3,37.47816594,1123.985719,79.17262546,33.39605184
6,78.45950704,1357.819089,75.41557241,34.53064086
9,47.87817259,1544.00391,82.21754435,33.214892
12,37.75305623,1729.523077,69.98461538,20.9533329
15,35.5517909,,,
18,15.15366972,,,
21,14.47565543,,,
0,54.41510221,1072.554253,80.05816686,32.74660795
3,94.21529745,1392.604816,82.54132231,32.52839943
6,75.04273504,1585.887825,83.84080428,31.87760438
9,56.66363636,1799.388799,69.66312684,33.72781058
12,30.38336857,,,
15,60.64645371,,,
18,96.42115768,,,
21,99.95192308,,,
